review,rating,clean_review,sentiment
baik,4,baik,positive
"Minta tolong securitynya sering ngecek, dikereta pramek banyak ibu-ibu yg membawa bayi tidak dapat tempat duduk, tolong diperhatikan! soalnya banyak laki-laki yg tidak mau mengalah",5,minta securitynya sering ngecek kereta pramek banyak ibuibu yg bawa bayi dapat tempat duduk perhati soal banyak lakilaki yg mau kalah,positive
tolong untuk metode pembayaran lewat e-wallet sediakan untuk aplikasi DANA🙏 dan kekurangan dari aplikasi ini di metode pembayaran nya yg terbatas,3,metode bayar lewat ewallet sedia untuk aplikasi dana kurang aplikasi di metode bayar nya yg batas,neutral
"siiip, mempermudah transaksi",5,siiip mudah transaksi,positive
kenapa sya buka gk bisa,5,sya buka gk,positive
Terbaik pokoknya mah 🫡🫡🫡,5,baik pokok mah,positive
baik,4,baik,positive
mantap,5,mantap,positive
sangat membantu,5,sangat bantu,positive
aplikasi yang sangat mudah & membantu untuk memesan tiket kereta,5,aplikasi sangat mudah bantu mes tiket kereta,positive
"Perbaiki bug nya !! Ketersediaan tiket tidak konsisten/stabil. Sebelumnya dicek ada, beberapa saat kemudian tidak ada. Setelah restart muncul lagi ketersediaannya, tapi waktu back menu sebelumnya terus cek lagi hilang lagi.",1,baik bug nya sedia tiket konsistenstabil belum cek beberapa kemudian ada restart muncul sedia waktu back menu belum terus cek hilang,negative
yg bener aja ga bisa booking tiket 1 per 1 (misalkan saya mesen tiket 3 tpi tujuan sama dan 1 per 1 untuk di bagikan ke yg lain).,2,yg bener aja ga booking tiket per misal mesen tiket tpi tuju sama per di bagi yg,negative
"Sumpah Gedeg dan kezelll bgtt, masa mau pesen tiket waktu jam 00.00 selalu ada gangguan/error. Jadinya kan aku kehabisan tiket trs kalau begitu caranya, dan ga hanya aku yg mengalami hal yg sama bahkan temen² juga. Terus ya masa aku dah bayar tiketnya tiba' ga ada notif pembayaran dan tiket ku blm terbayar pdhl kan udh. Masa transportasi elit aplikasi SULIT. Udh rela begadang demi war tiket ujung² nya jg tetep kehabisan tiket. Hdeuhhh mending aplikasi apus aja ga guna tau ga.",2,sumpah gedeg kezelll bgtt masa mau sen tiket waktu jam selalu gangguanerror jadi kan aku habis tiket trs kalau cara ga aku yg alami yg sama bahkan temen terus masa aku dah bayar tiket tiba ga notif bayar tiket ku blm bayar pdhl kan udh masa transportasi elit aplikasi sulit udh rela begadang war tiket ujung nya jg tetep habis tiket hdeuhhh mending aplikasi apus aja ga tau ga,negative
"KALO LAGI WAR TENGAH MALEM TU JANGAN EROR, TRUS TIBA-TIBA UDAH PENUH AJA. EMOSI BGTT. Kalo banyak yang kritik tu diperbaiki, banyak yang mengalami kejadian sama. Aku war tiket SAMPE 1 JAM LEBIH tapi tetep ga dapet tiket!!!!!",1,kalo war tengah malem tu jangan eror trus tibatiba udah penuh aja emosi bgtt kalo banyak kritik tu baik banyak alami jadi sama aku war tiket sampe jam lebih tetep ga dapet tiket,negative
kyk telek,1,kyk telek,negative
kecewa dengan pihak KAI penyediaan tiket yg GK masuk akal mau naik kereta dari Kotabumi ke tanjung karang saja susah bangett. pada hal sudah pesen dari jam 00.00 masih aja GK dapet,2,kecewa pihak kai sedia tiket yg gk masuk akal mau naik kereta kotabumi tanjung karang susah bangett hal sen jam aja gk dapet,negative
apk nya agak lemot pdhl mau cepet cepet beli tiket,3,apk nya lot pdhl mau cepet cepet beli tiket,neutral
aplikasinya bagus tapi tolong lebih d tingkatkat masalah koneksi apalagi klo jam jam awal selalu susah buat masuk k pembayaran,5,aplikasi bagus tolong lebih d tingkatkat masalah koneksi klo jam jam awal selalu susah buat masuk k bayar,positive
SERVERMU BELUM SIAP BUAT WAR TIKET.. MENGECEWAKAN...!!!!!!,1,servermu siap buat war tiket kecewa,negative
"aplikasi sampah sesampah sampahnya. kalo belum siap online. gausah sok Sokan online, server gak respon, tiap mau beli error terus, wifi bagus, tapi tetep gabisa,. mending pensiun aja",1,aplikasi sampah sampah sampah kalo siap online gausah sok sok online server gak respon tiap mau beli error terus wifi bagus tetep gabisa mending pensiun aja,negative
Tolong untuk jam malam server tolong diperbaiki! Sering lemot dan kadang gak keluar jadwal keretanya,1,untuk jam malam server baik sering lot kadang gak keluar jadwal kereta,negative
"jelek banget, server sering error. tolong diperbaiki",1,jelek banget server sering error baik,negative
"tolong dong masalah eror ni udaa 1 tahun kek gini terus masa udaa dapet tiket malah gabisa ke tahap selanjutnya padahal tiket masi tersedia, dan saat pemesanan selalu saja eror mulu ni aplikasi, mau di jadwal sibuk maupun jadwal yang ga sibuk,. udaa 1 tahun kek gini terus terutama di daerah sumatra",1,dong masalah eror ni udaa tahun kek gin terus masa udaa dapet tiket malah gabisa tahap lanjut padahal tiket mas sedia saat mesan selalu eror mulu ni aplikasi mau jadwal sibuk maupun jadwal ga sibuk udaa tahun kek gin terus utama daerah sumatra,negative
"bagus,cm disaat sudah mau pesan itu gimana slalu slow respon trs. sampai kehabisan...",4,baguscm saat mau pesan gimana slalu slow respon trs habis,positive
"harusnya aplikasi ini tidak cocok untuk mendapatkan bintang meskipun hanya 1. saya sudah tidak bisa lagi menggunakannya. login tidak bisa, lemot sekali, dan tiba-tiba selalu failed data. kalau update harus nya menjadi lebih baik dan efisien, bukan makin buruk dan mempersulit.",1,harus aplikasi cocok dapat bintang meski sudah bisa guna login tidak bisa lot sekali tibatiba selalu failed data kalau update nya jadi lebih baik efisien bukan makin buruk sulit,negative
"bagus... lebih cepatm. tapi membutuhkan internet nya untuk war tiket, tolong di perbaiki lagi... mungkin sedikit lebih bisa di stabilkan... karena internet saya sudah full.. dn memakai kartu indo*sat. tetap tidka bisa membeli tiket. loading nya juga sangat lama.",5,bagus lebih cepatm butuh internet nya war tiket di baik mungkin sedikit lebih di stabil internet sudah full dn pakai kartu indosat tetap tidka beli tiket loading nya sangat lama,positive
"server kebanyakan error, mohon untuk segera diperbaiki",4,server banyak error mohon segera baik,positive
"kenapa ya apk saya selalu eror, ga seperti sebelumnya",1,ya apk selalu eror ga belum,negative
"perbaiki dulu pembelian tiket di saat pergantian hari, server selalu penuh.",1,baik dulu beli tiket saat ganti hari server selalu penuh,negative
"baru jam 00.00 dah habis ludes mau ke balam, banyak banget calo tiket kayaknya",1,baru jam dah habis ludes mau balam banyak banget calo tiket kayak,negative
tolong servernya diperluas/diperbaiki,1,servernya diperluasdiperbaiki,negative
"server gampang down, mau batalkan pesanan ga bisa",1,server gampang down mau batal pesan ga,negative
bagus sih tapi kenapa harus ada member basic yg GK bisa diakses buat persulit penguna,1,bagus sih kenapa ada member basic yg gk akses buat sulit penguna,negative
"saya kasi bintang 1 krna apk ny mnurut saya jelek bgt, masa cuma antar kota aja nyari stasiun nya sampe Berjam"" tetap GK ketemu, dimasukin nama kota juga enggk ada, padahal dari stasiun Medan atau bandar Khalifah ke stasiun perlanaan (Simalungun) sampe searching ke google bolak balek, eh tetiba pas di cek lagi muncul itu stasiun nya dan jadwalnya, trus pas mau cek lagi malah GK muncul semua jadwalnya, subhanallah banget bobroknya apk ini, aneh !! tolong perbaiki dong.",1,kasi bintang krna apk ny mnurut jelek bgt masa cuma antar kota aja nyari stasiun nya sampe jam tetap gk ketemu dimasukin nama kota enggk padahal stasiun medan bandar khalifah stasiun lana simalungun sampe searching google bolak balek eh tetiba pas cek muncul stasiun nya jadwal trus pas mau cek malah gk muncul semua jadwal subhanallah banget bobrok apk aneh baik dong,negative
hayoh we loginnnn🤓,2,hayoh we loginnnn,negative
sangat membantu utk pemesanan tiket KAI,5,sangat bantu utk mesan tiket kai,positive
"error handlernya perlu diperhatikan lagi, soalnya malah ngasih socket back end nya",3,error handlernya perlu perhati soal malah ngasih socket back end nya,neutral
lebih ditingkatkan demi kebaikan,4,lebih tingkat baik,positive
mantap.. sat set... semua menjadi mudah dg KQI Access,5,mantap sat set semua jadi mudah dg kqi access,positive
loading sampe ketinggalan,1,loading sampe tinggal,negative
"setelah update jadi full loading, bagus sebelum update",1,update jadi full loading bagus update,negative
sangat memuaskan,5,sangat muas,positive
mantab,5,mantab,positive
nice so,5,nice so,positive
susah amat dapet tiketnya,2,susah dapet tiket,negative
sekarang kok tiap mau lihat jadwal kereta sering tidak bisa ya.,5,sekarang kok tiap mau lihat jadwal kereta sering bisa,positive
sejak update app untuk lebaran. app sering banget nge bug error. g mau tampilin jadwal. jadi g bisa mantau buat cari tiket. sm cs dimnta logout dn login lagi. tp cm kebatas 5x dalam satu jam. downgrade ini.,1,sejak update app lebaran app sering banget nge bug error g mau tampilin jadwal jadi g mantau buat cari tiket sm cs dimnta logout dn login tp cm batas x satu jam downgrade,negative
gagal terus daftar akun basic!!!,1,gagal terus daftar akun basic,negative
puas,5,puas,positive
"Biaya top up saldo terlalu mahal Rp. 2900, gimana kalau kita top up 6 anggota keluarga, sy menyarankan tmn2 scan e-toll aja atau e-card yg bisa diterima oleh KAI.",3,biaya top up saldo terlalu mahal rp gimana kalau top up anggota keluarga sy saran tmn scan etoll aja ecard yg terima kai,neutral
selalu memudahkan segala layanan,5,selalu mudah segala layan,positive
"Siang ini, bertepatan dengan H1 Lebaran 2026, saya beserta Ibu saya yang berusia 88 tahun & kakak yang berusia 66 tahun, menggunakan kereta api dari stasiun Madiun ke stasiun Solo Balapan. Ibu saya menggunakan kursi roda & membutuhkan bantuan untuk naik ke gerbong. Para petugas KAI di Stasiun Madiun maupun Solo Balapan, stand by & dengan sigap membantu kami sehingga perjalanan menjadi lebih mudah & menyenangkan. Terima kasih banyak kepada PT. KAI & semua petugas untuk pelayanan yang excellent.",5,siang tepat h lebaran serta ibu usia tahun kakak usia tahun guna kereta api stasiun madiun stasiun solo balap ibu guna kursi roda butuh bantu naik gerbong tugas kai stasiun madiun maupun solo balap stand by sigap bantu sehingga jalan jadi lebih mudah senang terima kasih banyak pt kai semua tugas layan yang excellent,positive
auruh upgrade member pas masukin otp error aneh g mau di beli apa gmn?,1,auruh upgrade member pas masukin otp error aneh g mau beli apa gmn,negative
bagus pelayanannya,4,bagus layan,positive
"eror trus kalo lgi rebutannnnn, gilaaa",1,eror trus kalo lgi rebutannnnn gilaaa,negative
goood,5,goood,positive
good,5,good,positive
baik,5,baik,positive
saat melakukan isi saldo kartu kmt tidak bisa dan hanya stuck di layar pembayaran. sudah menekan tombol lanjutkan namun layar tidak berubah ataupun saldo tidak bertambah,3,laku isi saldo kartu kmt bisa hanya stuck layar bayar tekan tombol lanjut layar ubah atau saldo tambah,neutral
kenapa ga bisa bisa upgrade ke member basic. waktu di verifikasi otp cuma loading doang ga keluar keluar,3,ga bisa upgrade member basic waktu verifikasi otp cuma loading doang ga keluar keluar,neutral
tepat,5,tepat,positive
mantap,5,mantap,positive
"untuk penjualan tiketnya aneh, masa mau beli tiket sebulan kedepan udah ngga ada tapi giliran udah beberapa hari lagi ada tapi cuma sedikit padahal saya mau beli sekeluarga. untuk ketersediaan tiketnya untuk lebih transparan lagi!!!",1,jual tiket aneh masa mau beli tiket bulan depan udah ngga gilir udah beberapa hari ada tapi cuma sedikit padahal mau beli keluarga sedia tiket lebih transparan,negative
"gatau kenapa KAI ACCESS saya setiap ngecek tiket di aplikasi selalu ga muncul, padahal di Web booking.kai.id bisa bisa aja, APK RUSAKKKK",1,gatau kai access tiap ngecek tiket aplikasi selalu ga muncul padahal web bookingkaiid bisa aja apk rusakkkk,negative
daftar basic udah kirim OTP gagal mulu. KAI sampah,1,daftar basic udah kirim otp gagal mulu kai sampah,negative
"sangat terbantu sekali,aplikasi mantab",5,sangat bantu sekaliaplikasi mantab,positive
"kerennnnn banget aplikasinya, user friendly, mesen atau refund mudah bangettt😍",5,kerennnnn banget aplikasi user friendly mesen refund mudah bangettt,positive
"aplikasinya bagus si, tapi sering eror. apalagi sering bgt ada tulisan no seat available padahal tiketnya masih ada.",3,aplikasi bagus si sering eror sering bgt tulis no seat available padahal tiket ada,neutral
"Sangat disayangkan, terdapat bug pada sistem yang mengakibatkan tidak adanya update tiket secara real time. Tidak tertulis apakah terdapat seat atau tidak, dan ketika ingin mencoba keluar, langsung terhitung memesan tiket dengan tagihan 0, sehingga tidak dapat melakukan pembayaran dan tidak dapat membatalkan pesanan. Tolong segera diperbaiki. Terimakasih.",1,sangat sayang dapat bug sistem akibat ada update tiket real time tulis dapat seat tidak ketika coba keluar langsung hitung mes tiket tagih tidak laku bayar tidak batal pesan segera baik terimakasih,negative
kenapa sih kok selalu sulit bgt pesennya pas hari raya,2,sih kok selalu sulit bgt sen pas hari raya,negative
"war tiket 00:00 WIB dibuka, 00:01 WIB udah ga bisa lagi mesen... seluruh tiket abis, luar biasa.... orang kaya ga masukin data lagi mau mesen",1,war tiket wib buka wib udah ga mesen seluruh tiket abis luar biasa orang kaya ga masukin data lagi mau mesen,negative
aplikasi swring teobel ga jelas,2,aplikasi swring teobel ga jelas,negative
Tidak bisa di akses??,5,bisa akses,positive
cukup membantu,5,cukup bantu,positive
Good,4,good,positive
dari tadi mau login gabisa bisa gila kali,1,tadi mau login gabisa gila kali,negative
Mantap,5,mantap,positive
aplikasi tolol,1,aplikasi tolol,negative
kadang tiker tersedia kadang engga,4,kadang tiker sedia kadang engga,positive
keren,5,keren,positive
masa gak bisa tiket KA lokal untuk 5 orang. kalo suami istri dah 2 orang. sama anak 3 atau 4 gimana. aneh2 aja. di saat yg lain membuka pelayanan. ini malah batasi pelayanan secara exream,1,masa gak tiket ka lokal orang kalo suami istri dah orang sama anak gimana aneh aja saat yg buka layan malah batas layan exream,negative
mantap mempermudah pelanggan,5,mantap mudah langgan,positive
bagus,5,bagus,positive
Bagus,5,bagus,positive
mau bayar tiket tapi susah diklik,3,mau bayar tiket susah klik,neutral
metode pembayaran kadang ga bisa pake Spay,3,metode bayar kadang ga pake spay,neutral
"tolong dong ini saya mau daftar jadi member basicc kaga bisa bisa, padahal udh dii isi bener tolong dong udh berapa kali daftar member basiic bacaan nya login dr gmail gada yg masuk ke Gmail... tolong dong diperbaiki lagi sistem nya",1,dong saya mau daftar jadi member basicc kaga bisa padahal udh dii isi bener dong udh berapa kali daftar member basiic baca nya login dr gmail gada yg masuk gmail dong baik sistem nya,negative
"Mau melakukan pembayaran aja susah banget, dicoba berkali-kali ga bisa terus. Mau dibatalkan ga bisa. Coba pesan lagi juga ga bisa.",1,mau laku bayar aja susah banget coba berkalikali ga terus mau batal ga coba pesan juga ga,negative
praktis,5,praktis,positive
aman,4,aman,positive
👮,5,,positive
apk bagus mudah digunakan,5,apk bagus mudah guna,positive
jos,5,jos,positive
"sudah dari lama mendaftar, begitu mau melengkapi daftar diri dan kode otp sudah saya masukkan kenapa begitu di pencet lanjutkan malah loading lama terus mulai dari awal puasa saya coba sampai sekarang nggak tau sudah berapa kali saya masukkan kode otp tetep aja loading lama terus ini gimana ya saya nggak bisa melengkapin data diri saya.",1,lama daftar mau lengkap daftar diri kode otp masuk begitu pencet lanjut malah loading lama terus mulai dari awal puasa coba sekarang tau berapa kali masuk kode otp tetep aja loading lama terus gimana saya bisa melengkapin data diri saya,negative
good job,5,good job,positive
"ngisi saldo kaipay TPI GK masuk ,tolong dibenahi lagi ya",1,ngisi saldo kaipay tpi gk masuk benah ya,negative
mantap,5,mantap,positive
udah beerapa kali konek shopee pay tp gagal. udah tu penumpang reduksi kadang bisa kadang gak. laganan makanan juga kalo belum aktif jangan dimasukkan ke aplikasi. saran perbaikan aplikasi aja. dan pastikan keamanan ewalet user ya.,3,udah beerapa kali konek shopee pay tp gagal udah tu tumpang reduksi kadang kadang gak lagan makan kalo aktif jangan masuk aplikasi saran baik aplikasi aja pasti aman ewalet user,neutral
okey,5,okey,positive
SANGAT MEMBANTU,5,sangat bantu,positive
bagus,5,bagus,positive
"tidak ada peningkatan dari dulu, server selalu down terus, padahal msi ada 10 seat tapi pas dibeli no seat available, apasih!????",1,tingkat dulu server selalu down terus padahal msi ada seat pas beli no seat available apasih,negative
"KAI bagian publikasi tolong artikelnya diperbaharui, jangan makan gaji buta. Kebanyakan artikelnya sudah tahun lalu semua, jangan remehkan masyarakat, masyarakat juga banyak yang rajin membaca. Fungsikan aplikasi KAI sebagai sarana untuk berkembang lebih baik lagi, semangat dan jangan dipersulit dengan malas.",2,kai bagi publikasi artikel baharu jangan makan gaji buta banyak artikel tahun lalu semua jangan remeh masyarakat masyarakat banyak rajin baca fungsi aplikasi kai sarana kembang lebih baik semangat jangan sulit malas,negative
makasih,5,makasih,positive
"masa ga ada jadwak kereta yg tersedia, perbaikin lah",1,masa ga jadwak kereta yg sedia perbaikin lah,negative
"mantab, terimakasih kai... sukses selalu kai top",5,mantab terimakasih kai sukses selalu kai top,positive
aplikasi yang sangat membantu tapi keseringan minta update,5,aplikasi sangat bantu sering minta update,positive
kenapa kreta Airlangga untuk booking 22 Maret di up. nya jam 00.20...??,4,kreta airlangga booking maret up nya jam,positive
mantap,5,mantap,positive
plis ka di mudahkan lah pembatalan tiketnya makasih,5,plis ka mudah lah batal tiket makasih,positive
"tiket kotabumi blm 1 menit langung sold out, hebat bangget.",1,tiket kotabumi blm menit langung sold out hebat bangget,negative
"gak bisa beli padahal ada seat, muncul note: no seat afailable.",3,gak beli padahal seat muncul note no seat afailable,neutral
"aplikasi yang sangat buruk. masa cuma satu kesalahan memasukkan kata sandi, akun di lock satu jam apa2an ini. aplikasi SAMPAH !!",1,aplikasi sangat buruk masa cuma satu salah masuk kata sandi akun lock satu jam apa aplikasi sampah,negative
so far so good,5,so far so good,positive
sgt bagus,5,sgt bagus,positive
aplikasi gg,1,aplikasi gg,negative
mudah dan simpel,5,mudah simpel,positive
mudik allhamdulilah,5,mudik allhamdulilah,positive
saya sudah beli tiket saldo pun sudah kepotong pas cek di menu TIKET SAYA kok belum ada tiket yang tersimpan?? padahal saldo saya sudah kepotong dan ketika mau cek tiket juga loading lama..,2,sudah beli tiket saldo sudah potong pas cek menu tiket kok ada tiket simpan padahal saldo sudah potong ketika mau cek tiket loading lama,negative
"sdh baik ,akan tetapi harus tetap mencari improvment yg baik lagi atas layanan Ke konsumen",5,sdh baik tetapi tetap cari improvment yg baik atas layan konsumen,positive
respon sangat baik,5,respon sangat baik,positive
sering eror,3,sering eror,neutral
rute sering hilang tidak ada jadwal muncul,2,rute sering hilang ada jadwal muncul,negative
oke,5,oke,positive
ok,5,,positive
sangat mudah tak perlu antri,5,sangat mudah tak perlu antri,positive
kualanamu ke medan jm 21:10-21:54. medan ke binjai 21:15-21:37..😢kok gk jm 21:54 lewat sih..dari medan ke binjai. kan gini gk bisa pulang.. untuk jdwal tgl 22 maret. tolong update dong min. kno-mdn. mdn-ke binjai.,4,kualanamu medan jm medan binjai kok gk jm lewat sihdari medan binjai kan gin gk pulang jdwal tgl maret update dong min knomdn mdnke binjai,positive
admin nya ga ngotak cuy,1,admin nya ga ngotak cuy,negative
PESEN TIKET KOK MALAH LOADING PARAHHHHH DARI DULU PENYAKITNYA SAMA GAK PERNAH LEBIH BAIK,1,sen tiket kok malah loading parahhhhh dulu sakit sama gak pernah lebih baik,negative
good,5,good,positive
membantu sekali,5,bantu sekali,positive
pesan tiket sangat mudah dengan menggunakan aplikasi acces by KAI,5,pesan tiket sangat mudah guna aplikasi acces by kai,positive
"Sangat memudahkan, best for KAI",5,sangat mudah best for kai,positive
Good.,5,good,positive
service ok,4,service,positive
goood,5,goood,positive
pembayaran lewat shopeepay aneh seperti bug 2 kali kaya gini apk aneh,1,bayar lewat shopeepay aneh bug kali kaya gin apk aneh,negative
sering eror! mohon di perbaiki,1,sering eror mohon baik,negative
cepat dlm pemesanan tiket....sangat membantu,5,cepat dlm mesan tiketsangat bantu,positive
"sering eror ya, tinggal bayar tiba tiba keluar sendiri, trs dialihkan ke tulisan selesaikan pembayaran tapi ga bisa dipencet, jadi bayarnya lewat mana? mau dibatalin ga bisa harus nunggu sisa waktu bayar habis, sekalinya nunggu tiket kereta lokalnya udh habis emg harus diperbaiki lagi sistemnya ini apalagi pembayaran yg lewat ovo & shopeepay, sering keluar sendiri",1,sering eror tinggal bayar tiba tiba keluar sendiri trs alih tulis selesai bayar ga pencet jadi bayar lewat mana mau dibatalin ga nunggu sisa waktu bayar habis sekali nunggu tiket kereta lokal udh habis emg harus baik sistem apalagi bayar yg lewat ovo shopeepay sering keluar sendiri,negative
kalo sering dibuka cek jadwal kereta luar kota tiba2 jadwal ga ada lgi untuk semua tgl,2,kalo sering buka cek jadwal kereta luar kota tiba jadwal ga lgi semua tgl,negative
"Nyusahin banget, kalo misal pesennya sekarang maksimal 4, yaaaa minimal gak usah dipisah tempat duduknya🥴 Stresss bgt sistem masa lebaran ini.",1,nyusahin banget kalo misal sen sekarang maksimal yaaaa minimal gak usah pisah tempat duduk stresss bgt sistem masa lebaran,negative
"gak jelas, apk banyak pembaruan yang justru bikin ribet",1,gak jelas apk banyak baru justru bikin ribet,negative
"Apa ini delay ga sesuai jadwal di tiket, masa ga profesional perkara ngalah sama kereta lain",1,apa delay ga sesuai jadwal tiket masa ga profesional perkara ngalah sama kereta,negative
useful! superb apps,5,useful superb apps,positive
"tolong banget ini mah kalo pembaruan tu makin bagus, bukan makin bosok😭",1,banget mah kalo baru tu makin bagus bukan makin bosok,negative
ptaktis dan sangat membantu,5,ptaktis sangat bantu,positive
"di hp saya saat ini tidak bisa dibuka, sebelumnya bisa dipakai Untuk pemesanan ticket,hp saya merk Oppo type A17, mohon dibantu, Karena saya hampir tiap hari menggunakan jasa kereta api Indonesia",1,hp saat tidak buka belum pakai mesan tickethp merk oppo type a mohon bantu saya hampir tiap hari guna jasa kereta api indonesia,negative
ini knpa skrng gabsa pesen tiket yaa katnya lg pemeliharaan,3,knpa skrng gabsa sen tiket yaa katnya lg pelihara,neutral
"dari kecil terbiasa naik kereta sejak tahun 1980an, jadi faham perkembangan pertiket ka an, pake aplikasi ini sangat mempermudah 👍",5,kecil biasa naik kereta sejak tahun an jadi faham kembang tiket ka an pake aplikasi sangat mudah,positive
"sangat membantu apk ini, tp hp sy bukan os 8 jadi tdk bisa meng update apk ini, dan sdh tdk bisa bookkng tiket disini, kalo sy harus ganti hp lg hanya krn utk update ini, sungguh terlalu, sdg hp sy masih bisa digunakan utk yg lain nya, saran sy jgn tll tinggi lah kalo apk untuk umum, jd sy kasih bintang 2 aja lah",2,sangat bantu apk tp hp sy bukan os jadi tdk meng update apk dan sdh tdk bookkng tiket sini kalo sy ganti hp lg krn utk update sungguh terlalu sdg hp sy bisa guna utk yg nya saran sy jgn tll tinggi lah kalo apk umum jd sy kasih bintang aja lah,negative
"apk ini sangat buruk sekali, selalu minta diulang2 bhkn sdh smp pembayaran gagal terus.",1,apk sangat buruk sekali selalu minta ulang bhkn sdh smp bayar gagal terus,negative
"kemajuan teknologi untuk mempermudah bukan sebaliknya, coba KAI, membuat program dalam aplikasi ini untuk memudahkan konsumen berangkat dari stasiun yang diinginkan ke stasiun tujuan cukup dengan 1 klik dan memberikan berbagai macam opsi kereta, baik commuter line, kereta lokal, dan kereta antar kota, sehingga kami konsumen dapat menyesuaikan kebutuhan cukup 1x membeli tiket semacam tiket terusan bila harus menggunakan lebih dari 1 macam jenis kereta (commuter line,lokal, dan antar kota)",5,maju teknologi mudah bukan balik coba kai buat program aplikasi untuk mudah konsumen berangkat stasiun ingin stasiun tuju cukup klik beri bagai macam opsi kereta baik commuter line kereta lokal kereta antar kota kami konsumen sesuai butuh cukup x beli tiket macam tiket terus bila guna lebih macam jenis kereta commuter lokal antar kota,positive
"cuma mau kasih saran seharusnya tiket kereta api dikelasifisikan jauh dekat harga tiket nya berbeda dong . KRL commuter Jabodetabek aja harga tiketnya tidak sama rata , masa kereta api nya jauh dekat harga tiket sama . semoga kereta api Indonesia bisa mendengarkan saran saya. salam hormat 🙏😊",4,cuma mau kasih saran tiket kereta api dikelasifisikan jauh dekat harga tiket nya beda dong krl commuter jabodetabek aja harga tiket sama rata masa kereta api nya jauh dekat harga tiket sama moga kereta api indonesia dengar saran salam hormat,positive
sangat bagus dan cepat,5,sangat bagus cepat,positive
tolong buat pangembang jang di persulit dong perangkat saya jadi ga bisa pasang aplikasinya,2,buat pangembang jang sulit dong perangkat jadi ga pasang aplikasi,negative
Minta pemulihan kata sandi gagal terus,5,minta pulih kata sandi gagal terus,positive
top markotop 👍👍👍,5,top markotop,positive
"ngaco,,,, gk ada jadwal yg tersedia,,,,",1,ngaco gk jadwal yg sedia,negative
"Proses pembatalan super lama, nunggu pending sampai 3 hari blm pengembalian dana, ayolah buat semuanya mudah dan simpel. mohon di perbaiki lagi🙏",1,proses batal super lama nunggu pending hari blm kembali dana ayo buat semua mudah simpel mohon baik lagi,negative
Susah banget yah pesen tiket,1,susah banget yah sen tiket,negative
pelayanan mudah ramah dan cepat gaess keren dah sesuai dengan teknologi saat ini hitungam detik udah dapat tiket yg kalian mau.asal masih ada kuotanya .udah yaa,5,layan mudah ramah cepat gaess keren dah sesuai teknologi ini hitungam detik udah tiket yg kalian mauasal ada kuota udah yaa,positive
"ga bisa verifikasi loding nya lama amat padahal sinyal bagus, ga jelas , padahal mau mesen tiket ha ribet anjirr pas di coba lagi malah ga bisa nunggu 1 hari",1,ga verifikasi loding nya lama padahal sinyal bagus ga jelas padahal mau mesen tiket ha ribet anjirr pas coba malah ga nunggu hari,negative
"Pemesanan tiket sangat mudah, jadi senang",5,mesan tiket sangat mudah jadi senang,positive
kenapa saya tidak bisa pesan tiket lewat aplikasi ini y?,5,saya bisa pesan tiket lewat aplikasi y,positive
mantap kai,5,mantap kai,positive
"jujur kecewa kok di hp saya tiket tidak teraedia, sedangkan d hp temen saya tersedia banyak",1,jujur kecewa kok hp tiket teraedia d hp temen sedia banyak,negative
good,5,good,positive
keren,5,keren,positive
"aplikasinya bagus banget tapi sayang service railfood nya lama banget, udah 1 jam order ga dateng dateng.",5,aplikasi bagus banget sayang service railfood nya lama banget udah jam order ga dateng dateng,positive
"UI sudah lumayan, cuma bisa minta tolong UI dikasih gambar detail gerbong/ arah keberangkatan, jadi ada sistem integrasi dengan pusat sarana dengan aplikasi supaya lebih memudahkan penumpang, apalagi dengan KA Tawang Alun yang notabennya ada perpindahan lg lajur kereta. Untuk UX bisa dimaksimalkan lagi dalam pemilihan kereta, karena agak risih dalam sistem antrian tiket karena banyak yg gk kebagian tiket, bisa di pertimbangkan dgn sistem in memory queue, data sementara di user kmdn ke database",4,ui lumayan cuma minta ui kasih gambar detail gerbong arah berangkat jadi sistem integrasi pusat sarana aplikasi lebih mudah tumpang dengan ka tawang alun notabennya pindah lg lajur kereta ux maksimal pilih kereta agak risih dalam sistem antri tiket banyak yg gk bagi tiket di timbang dgn sistem in memory queue data di user kmdn database,positive
"aplikasinya gabisa dibuka, layarnya hitam doang",1,aplikasi gabisa buka layar hitam doang,negative
memudahkan bgt. maaksih,5,mudah bgt maaksih,positive
pelayanan ok,5,layan,positive
"aplikasi apaan ini 18 maret baru install. buat cek harga. tapi satupun tiket engga ada baik yg sudah habis atau belum, ganti tanggal engga ngaruh. sengaja kasih b5 biar pada baca",5,aplikasi apa maret baru install buat cek harga satu tiket engga baik yg habis belum ganti tanggal engga ngaruh sengaja kasih b biar baca,positive
memuaskan,5,muas,positive
"tolong perbaiki, cek jadwal keberangkatan tiap 5-7x langsung ilang semua jadwal nya di semua hari tidak mau loading datanya, muncul tulisan tidak ada jadwal kereta (di semua hari) yang awalmada tiba"" hilang",1,baik cek jadwal berangkat tiap x langsung ilang semua jadwal nya semua hari mau loading data muncul tulis ada jadwal kereta semua hari awalmada tiba hilang,negative
Pembayaranya susah lag,2,pembayaranya susah lag,negative
"sangat sangat buruk, intinya buruk, masa saat hendak membeli tiket habis, tetapi saat akses kembali masih ada 4 kursi, saat mau membeli kembali habis.",2,sangat sangat buruk inti buruk masa hendak beli tiket habis akses masih kursi saat mau beli habis,negative
